name,best_val_f1,method
Stacking_LR,0.9860155963053158,Stacking
C0.70+Conv0.10+Eff0.20,0.985615906502889,WeightedAvg
C0.80+Conv0.10+Eff0.10,0.9848729863264173,WeightedAvg
C0.60+Conv0.10+Eff0.30,0.9846953051579276,WeightedAvg
C0.80+Conv0.20,0.9844200711179149,WeightedAvg
C0.60+Conv0.20+Eff0.20,0.984397637021691,WeightedAvg
C0.75+Conv0.25,0.9842726707911987,WeightedAvg
C0.85+Conv0.15,0.9839705696322051,WeightedAvg
C_focal,0.9839496950616109,WeightedAvg
C0.70+Conv0.20+Eff0.10,0.9836755492574857,WeightedAvg
C0.60+Conv0.30+Eff0.10,0.9835064471376462,WeightedAvg
C0.90+Conv0.10,0.9832314663522096,WeightedAvg
C0.50+Conv0.20+Eff0.30,0.9831951574846437,WeightedAvg
C0.70+Conv0.30,0.9831049999153567,WeightedAvg
C0.50+Conv0.30+Eff0.20,0.9823115468043725,WeightedAvg
C0.65+Conv0.35,0.9819171149987569,WeightedAvg
C0.50+Conv0.10+Eff0.40,0.98167748266503,WeightedAvg
C0.60+Conv0.40,0.980577099064243,WeightedAvg
C0.55+Conv0.45,0.9790849459963674,WeightedAvg
C0.50+Conv0.50,0.9751086231128472,WeightedAvg
EffNet,0.9701228205471991,WeightedAvg
ConvNeXt,0.9575028234292874,WeightedAvg
